,pl_name,hostname,hostname_omit_binary_signature,sy_pnum,sy_vmag,circularization_timescale,circularization_timescaleerr1,circularization_timescaleerr2,st_age,st_ageerr1,st_ageerr2,tau_age_diff,tau_age_differr1,tau_age_differr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_mass,st_masserr1,st_masserr2,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,st_met,st_meterr1,st_meterr2,pl_mass_combinej,pl_mass_combinejerr1,pl_mass_combinejerr2,pl_massj,pl_massjerr1,pl_massjerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_dens,pl_denserr1,pl_denserr2,lambda,lambdaerr1,lambdaerr2,mass_ratio,mass_ratioerr1,mass_ratioerr2
257,WASP-102 b,WASP-102,WASP-102,1.0,12.667,0.02544936057689349,0.025713044070149786,0.013064127501064489,0.67,0.07,0.07,0.0382666470542279,0.038183890086687,0.0201397634369694,0.0,,,0.0,1.08,0.07,0.07,5990.0,100.0,100.0,1.375,0.048,0.048,-0.2,0.3,0.3,0.622,0.133,0.133,0.622,0.133,0.133,1.3299377136792998,0.05,0.05,2.709813,3e-07,3e-07,0.041,0.001,0.001,6.43,0.04,0.05,0.2643841782646451,0.08,0.08,,,,0.0005498894081023185,0.00012286389513458084,0.00012286389513458084
258,TOI-3629 b,TOI-3629,TOI-3629,1.0,14.639,0.6334520525046519,0.6375364693161194,0.33024063875312676,7.0,2.0,2.0,0.09251222681551,0.1039053837371263,0.0511448975247253,0.05,0.05,0.04,0.0,0.63,0.02,0.02,3870.0,90.0,90.0,0.6,0.02,0.01,0.4,0.1,0.1,0.26,0.02,0.02,0.26,0.02,0.02,0.7399653446812,0.02,0.02,3.936551,5e-06,6e-06,0.043,0.002,0.002,15.4,0.8,0.8,0.641620437091584,0.1,0.1,,,,0.0003940411008909587,3.279068439194824e-05,3.279068439194824e-05
259,OGLE-TR-10 b,OGLE-TR-10,OGLE-TR-10,1.0,16.006,0.11573647745397131,0.24772687959798173,0.08520775053744101,3.2,4.0,3.1,0.029473878564236743,0.0931089647628453,0.0209074097363554,0.82,,,1.0,1.14,0.1,0.12,5950.0,130.0,130.0,1.17,0.13,0.11,,,,1.13,1.6,0.39,1.13,1.6,0.39,1.24992131,0.14,0.12,3.101278,,,0.0434,0.0013,0.0015,,,,0.57856,0.18,0.12,,,,0.0009464165307836486,0.001342627928084061,0.0003414937116618006
260,WASP-43 b,WASP-43,WASP-43,1.0,12.305,0.0009529961278648168,0.0012077222805642405,0.0005190076802729271,7.0,7.0,7.0,0.00012917953972701635,0.0002719194058159,7.991918810400503e-05,0.0062,,,1.0,0.72,0.03,0.03,4520.0,120.0,120.0,0.6,0.03,0.04,-0.05,0.17,0.17,2.05,0.05,0.052,2.05,0.05,0.052,0.92992504,0.07,0.09,0.813475,1e-06,1e-06,0.0142,0.0004,0.0004,4.92,0.09,0.1,2.548619580609107,0.971,0.545,3.5,6.8,6.8,0.002718504710473681,0.0001312504408979205,0.0001326100319218909
261,WASP-66 b,WASP-66,WASP-66,1.0,11.605,0.4174976346429611,2.00727333329493,0.35609235465152483,3.7,0.7,1.2,0.12303913027349939,0.6492483646204387,0.0986473814136714,0.046,,,1.0,1.3,0.07,0.07,6600.0,150.0,150.0,1.76,0.35,0.35,-0.31,,,2.37,0.14,0.14,2.37,0.14,0.14,1.399936846,0.28,0.28,4.08605,7e-06,7e-06,0.05510760745248,0.0113119523995683,0.0113119523995683,6.71,0.36,0.36,0.8637026239067058,,,4.0,22.0,22.0,0.001740659076154705,0.00013913167116994828,0.00013913167116994828
262,WASP-19 b,WASP-19,WASP-19,1.0,12.248,0.00012004921982853193,0.00011056075755634673,6.076317431754922e-05,9.95,2.49,2.49,1.2543366949812257e-05,1.3175639113072322e-05,6.743276353201176e-06,0.0061,,,1.0,0.94,0.04,0.04,5460.0,90.0,90.0,1.006,0.031,0.034,0.04,0.25,0.3,1.157,0.076,0.078,1.157,0.076,0.078,1.4149337330249,0.044,0.048,0.78883852,7.5e-07,8.2e-07,0.01652,0.0005,0.00056,3.45,0.07,0.07,0.4083795999565324,0.031,0.03,1.0,1.2,1.2,0.0011752066237742582,9.19787616258786e-05,9.369024641085821e-05
263,K2-99 b,K2-99,K2-99,2.0,11.149,389.0557237843978,319.31431872616514,183.17630595314088,3.7,0.4,0.4,106.01392749048208,85.80892707654978,50.96702127603037,0.22,0.01,0.01,0.0,1.44,0.03,0.03,6069.0,92.0,92.0,2.55,0.02,0.02,0.2,0.07,0.07,0.87,0.02,0.02,0.87,0.02,0.02,1.0599503581634,0.01,0.01,18.24783,3e-05,3e-05,0.153,0.001,0.001,13.1,0.1,0.1,0.7304687762381026,,,,,,0.0005768534385639275,1.7896399608626807e-05,1.7896399608626807e-05
264,TOI-858 B b,TOI-858 B,TOI-858,1.0,11.183,0.10658158043731854,0.09046031703768458,0.05343472309933454,6.8,2.9,2.5,0.016360205719000452,0.0212383599882403,0.0093683617172101,0.15,,,1.0,1.08,0.08,0.07,5842.0,84.0,79.0,1.308,0.037,0.038,0.153,0.091,0.091,1.1,0.08,0.07,1.1,0.08,0.07,1.2549412262838,0.039,0.039,3.2797178,1.4e-06,1.4e-06,0.04435,0.001,0.00098,7.3,0.3,0.3,0.5564953089026414,0.087,0.073,99.0,4.0,4.0,0.0009724732297629428,0.00010095108083905901,8.833219573417664e-05
265,Kepler-435 b,Kepler-435,Kepler-435,1.0,13.704,0.6576710255721829,0.7769277212459393,0.36827005136929886,2.25,0.42,0.42,0.3008073737510508,0.3747265521407465,0.164253800472468,0.18,,,1.0,1.538,0.088,0.088,6161.0,94.0,94.0,3.21,0.3,0.3,-0.18,0.11,0.11,0.85,0.13,0.13,0.85,0.13,0.13,1.9902751,0.18,0.18,8.6001536,1.8e-06,1.8e-06,0.0948,0.0018,0.0018,6.35,0.51,0.51,0.1078598213156131,0.037,0.037,,,,0.0005276808280661908,8.616691442148817e-05,8.616691442148817e-05
266,TOI-2202 b,TOI-2202,TOI-2202,2.0,13.004,73.3454176696302,62.909709338944594,36.427144696549774,6.4,4.4,3.9,11.441794921021174,18.904404207794617,7.095004143331788,0.022,0.022,0.015,0.0,0.84,0.03,0.03,5169.0,80.0,78.0,0.808,0.024,0.022,0.059,0.043,0.043,0.904,0.087,0.1,0.904,0.087,0.1,0.9769542450294,0.016,0.016,11.9126075,0.00011,0.00011,0.097663960423584,0.0031131083843396,0.0028890249756288,26.0,0.3,0.3,0.9693592063726644,,,26.0,12.0,15.0,0.0010275379477079614,0.00010547887694751113,0.00011944295371160104
